Time (sec),Extension (in),Load (lbf),Strain 1 (%)
0.00,0.00,-0.02,0.00
0.10,0.00,0.12,0.00
0.20,0.00,0.34,0.00
0.30,0.00,0.16,0.00
0.40,0.00,0.11,0.00
0.50,0.00,0.10,0.00
0.60,0.00,0.03,0.00
0.70,0.00,0.19,0.00
0.80,0.00,0.10,0.00
0.90,0.00,0.23,0.00
1.00,0.00,0.14,0.00
1.10,0.00,0.30,0.00
1.20,0.00,0.02,0.00
1.30,0.00,0.27,0.00
1.40,0.00,0.33,0.00
1.50,0.00,0.21,0.00
1.60,0.00,0.26,0.00
1.70,0.00,0.37,0.00
1.80,0.00,0.23,0.00
1.90,0.00,0.20,0.00
2.00,0.00,0.14,0.00
2.10,0.00,0.43,0.00
2.20,0.00,0.52,0.00
2.30,0.00,1.25,0.00
2.40,0.00,2.88,0.00
2.50,0.00,4.85,0.00
2.60,0.00,7.37,0.00
2.70,0.00,10.78,0.00
2.80,0.00,14.66,0.00
2.90,0.00,18.82,0.00
3.00,0.01,22.95,0.00
3.10,0.01,27.93,0.00
3.20,0.01,33.49,0.00
3.30,0.01,40.14,0.00
3.40,0.01,47.32,0.00
3.50,0.01,54.36,0.00
3.60,0.01,62.32,0.00
3.70,0.01,70.40,0.00
3.80,0.01,78.68,0.00
3.90,0.01,87.77,0.00
4.00,0.01,96.42,0.00
4.10,0.01,105.73,0.00
4.20,0.01,115.18,0.00
4.30,0.01,124.87,0.00
4.40,0.01,135.25,0.00
4.50,0.01,145.33,0.00
4.60,0.01,156.11,0.00
4.70,0.01,166.49,0.00
4.80,0.01,177.32,0.00
4.90,0.01,188.78,0.00
5.00,0.01,199.47,0.00
5.10,0.01,210.92,0.00
5.20,0.01,222.09,0.00
5.30,0.01,234.04,0.00
5.40,0.01,246.39,0.00
5.50,0.01,257.21,0.00
5.60,0.01,269.48,0.00
5.70,0.01,281.28,0.00
5.80,0.01,293.17,0.00
5.90,0.01,305.35,0.00
6.00,0.01,317.67,0.00
6.10,0.01,330.32,0.00
6.20,0.01,342.46,0.00
6.30,0.01,354.95,0.00
6.40,0.01,368.49,0.00
6.50,0.01,381.38,0.00
6.60,0.01,394.45,0.00
6.70,0.01,406.96,0.00
6.80,0.01,420.20,0.00
6.90,0.01,433.83,0.00
7.00,0.01,446.89,0.00
7.10,0.01,461.00,0.00
7.20,0.01,474.08,0.00
7.30,0.01,487.68,0.00
7.40,0.01,501.74,0.00
7.50,0.01,515.54,0.00
7.60,0.01,530.14,0.00
7.70,0.01,543.97,0.00
7.80,0.01,558.58,0.01
7.90,0.01,573.37,0.01
8.00,0.01,587.47,0.01
8.10,0.01,602.86,0.01
8.20,0.01,617.24,0.01
8.30,0.01,632.48,0.01
8.40,0.01,647.54,0.01
8.50,0.01,662.07,0.01
8.60,0.01,678.02,0.01
8.70,0.01,693.14,0.01
8.80,0.01,709.12,0.01
