Strain : Axial Gauge Length (Strain Source),2,in,
Strain : Time at Removal (Strain Source),,ms,
,,,
Time,Extension,Load,Strain 1
(sec),(in),(lbf),(%)
0,0,0.02136,0.00003
0.1,0.00006,0.20645,0.00009
0.2,0.00025,0.12709,0.00013
0.3,0.00046,0.28816,0.00003
0.4,0.00064,0.1465,0.00011
0.5,0.00082,-0.02526,0.00008
0.6,0.00099,0.15982,0.00007
0.7,0.00117,0.11728,0.00006
0.8,0.00133,0.14972,0.00008
0.9,0.0015,0.01309,0.00007
1,0.00167,0.0579,0.0001
1.1,0.00183,0.22627,0.00009
1.2,0.002,0.26995,0.00013
1.3,0.00216,0.39697,0.00018
1.4,0.00233,0.34609,0.00013
1.5,0.0025,0.34946,0.00018
1.6,0.00266,0.44138,0.00014
1.7,0.00283,0.3188,0.00019
1.8,0.003,0.38816,0.00018
1.9,0.00316,0.47533,0.00017
2,0.00333,0.9827,0.00035
2.1,0.0035,1.23309,0.00038
2.2,0.00367,1.49992,0.00039
2.3,0.00383,2.06099,0.00045
2.4,0.004,2.43763,0.00046
2.5,0.00417,3.02704,0.00047
2.6,0.00433,3.52875,0.00044
2.7,0.0045,4.06317,0.00056
2.8,0.00466,4.61212,0.00054
2.9,0.00483,4.98151,0.00065
3,0.005,5.65732,0.00067
3.1,0.00516,6.23729,0.00076
3.2,0.00533,6.62765,0.00079
3.3,0.0055,6.94666,0.0008
3.4,0.00567,7.65616,0.00084
3.5,0.00583,9.00485,0.00094
3.6,0.006,10.9518,0.00105
3.7,0.00617,13.36952,0.00119
3.8,0.00633,15.40449,0.0013
3.9,0.0065,17.94476,0.00148
4,0.00666,20.81905,0.00167
4.1,0.00683,24.4212,0.00184
4.2,0.007,28.31583,0.00207
4.3,0.00716,32.43566,0.0023
4.4,0.00733,37.39771,0.00261
4.5,0.0075,42.51554,0.00276
4.6,0.00766,47.97154,0.00302
4.7,0.00783,54.26353,0.00325
4.8,0.008,60.22676,0.0035
4.9,0.00817,66.49805,0.00368
5,0.00833,73.03004,0.00396
5.1,0.0085,79.94269,0.00423
5.2,0.00866,87.31697,0.00448
5.3,0.00883,94.70117,0.00473
5.4,0.009,102.51349,0.00503
5.5,0.00916,110.11113,0.00524
5.6,0.00933,118.16882,0.00557
5.7,0.0095,126.59814,0.00586
5.8,0.00966,134.90155,0.00618
5.9,0.00983,144.03682,0.00653
6,0.01,152.80568,0.00698
6.1,0.01016,161.7688,0.00726
6.2,0.01033,171.31976,0.00773
6.3,0.0105,181.2176,0.00808
6.4,0.01067,191.56282,0.00849
6.5,0.01083,202.01137,0.00905
6.6,0.011,212.40015,0.00947
6.7,0.01116,223.51244,0.01003
6.8,0.01133,235.01209,0.01053
6.9,0.0115,247.10624,0.01107
7,0.01166,258.5133,0.01165
7.1,0.01183,270.38354,0.01226
7.2,0.012,282.47132,0.01275
7.3,0.01216,294.61616,0.01337
7.4,0.01233,307.46681,0.01397
7.5,0.01249,319.38668,0.01464
7.6,0.01266,332.29397,0.01522
7.7,0.01283,344.71819,0.01594
7.8,0.01299,356.6759,0.0165
7.9,0.01316,369.76749,0.01719
8,0.01333,382.00556,0.01782
8.1,0.0135,394.37616,0.01839
8.2,0.01366,406.23411,0.01902
8.3,0.01383,417.94323,0.01959
8.4,0.014,429.74058,0.02016
8.5,0.01416,441.11986,0.02067
8.6,0.01433,452.14614,0.02125
8.7,0.0145,462.83618,0.02174
8.8,0.01466,473.62701,0.02226
8.9,0.01483,484.25557,0.02284
9,0.01499,494.6638,0.02331
9.1,0.01517,506.05798,0.02385
9.2,0.01533,516.69576,0.02447
9.3,0.0155,526.98561,0.02501
9.4,0.01567,537.62535,0.02568
9.5,0.01583,547.74214,0.02624
9.6,0.016,559.23113,0.02696
9.7,0.01616,569.88603,0.02755
9.8,0.01633,580.34672,0.02823
9.9,0.0165,591.17356,0.02881
10,0.01666,601.70913,0.02936
10.1,0.01683,612.96831,0.03011
10.2,0.017,623.28714,0.03076
10.3,0.01716,634.22892,0.03139
10.4,0.01733,645.31939,0.03198
10.5,0.0175,655.98669,0.03254
10.6,0.01767,667.01013,0.03317
10.7,0.01783,677.3694,0.03382
10.8,0.018,688.70262,0.03441
10.9,0.01817,700.45052,0.03508
11,0.01833,711.43682,0.03567
11.1,0.0185,722.87208,0.03626
11.2,0.01866,733.6655,0.03694
11.3,0.01883,745.27924,0.03755
11.4,0.019,757.2046,0.03813
11.5,0.01916,768.69003,0.03877
11.6,0.01934,780.72853,0.03937
11.7,0.0195,791.90669,0.04004
11.8,0.01966,804.07894,0.0406
11.9,0.01983,815.69334,0.04127
12,0.01999,827.90311,0.04183
12.1,0.02017,840.92741,0.0425
12.2,0.02033,852.29869,0.04311
12.3,0.0205,864.37798,0.04372
12.4,0.02066,876.34136,0.04429
12.5,0.02083,888.98611,0.04497
12.6,0.021,901.55155,0.04562
12.7,0.02116,913.40087,0.0463
12.8,0.02133,926.08632,0.04688
12.9,0.02149,938.29383,0.04756
13,0.02166,950.87837,0.04816
13.1,0.02183,963.83274,0.04882
13.2,0.022,976.50755,0.04955
13.3,0.02217,989.4275,0.05022
13.4,0.02233,"1,001.74",0.05091
13.5,0.0225,"1,014.74",0.05149
13.6,0.02266,"1,028.23",0.05219
13.7,0.02283,"1,040.98",0.05292
13.8,0.023,"1,054.47",0.0536
13.9,0.02316,"1,066.99",0.05427
14,0.02333,"1,080.51",0.05497
14.1,0.02349,"1,093.80",0.0557
14.2,0.02366,"1,106.67",0.05635
14.3,0.02383,"1,121.16",0.05712
14.4,0.024,"1,133.94",0.05772
14.5,0.02417,"1,147.25",0.05856
14.6,0.02433,"1,161.24",0.05917
14.7,0.02449,"1,174.60",0.05988
14.8,0.02467,"1,188.73",0.06059
14.9,0.02483,"1,202.21",0.06128
15,0.025,"1,216.27",0.06209
15.1,0.02516,"1,229.93",0.06272
15.2,0.02533,"1,243.48",0.06348
15.3,0.0255,"1,258.36",0.06431
15.4,0.02566,"1,272.12",0.06503
15.5,0.02583,"1,285.98",0.06576
15.6,0.026,"1,300.03",0.06645
15.7,0.02616,"1,314.25",0.06731
15.8,0.02633,"1,328.93",0.06812
15.9,0.0265,"1,342.76",0.06885
16,0.02667,"1,357.65",0.06974
16.1,0.02683,"1,371.88",0.07052
16.2,0.027,"1,386.23",0.07132
16.3,0.02716,"1,401.75",0.0721
16.4,0.02733,"1,415.26",0.07288
16.5,0.0275,"1,430.39",0.07373
16.6,0.02766,"1,445.51",0.07448
16.7,0.02783,"1,459.97",0.07522
16.8,0.028,"1,475.04",0.07608
16.9,0.02816,"1,489.71",0.07685
17,0.02833,"1,505.15",0.07768
17.1,0.02849,"1,520.40",0.07844
17.2,0.02866,"1,535.62",0.07926
17.3,0.02883,"1,551.01",0.08006
17.4,0.029,"1,565.74",0.08085
17.5,0.02917,"1,582.24",0.08165
17.6,0.02933,"1,597.01",0.08238
17.7,0.0295,"1,612.54",0.08312
17.8,0.02966,"1,628.22",0.08396
17.9,0.02983,"1,643.46",0.08463
18,0.03,"1,659.90",0.08553
18.1,0.03016,"1,675.23",0.08626
18.2,0.03033,"1,691.07",0.08714
18.3,0.0305,"1,707.17",0.08781
18.4,0.03066,"1,723.30",0.08868
18.5,0.03083,"1,738.91",0.08942
18.6,0.03099,"1,754.10",0.09022
18.7,0.03117,"1,770.75",0.09106
18.8,0.03133,"1,786.76",0.09183
18.9,0.0315,"1,802.19",0.09257
19,0.03166,"1,818.43",0.09342
19.1,0.03183,"1,833.67",0.09415
19.2,0.032,"1,850.28",0.09499
19.3,0.03216,"1,866.52",0.09574
19.4,0.03233,"1,882.46",0.09652
19.5,0.0325,"1,899.33",0.09736
19.6,0.03266,"1,915.04",0.09813
19.7,0.03283,"1,931.18",0.0989
19.8,0.03299,"1,947.30",0.09962
19.9,0.03316,"1,963.45",0.10035
20,0.03333,"1,980.28",0.10118
20.1,0.0335,"1,996.19",0.10197
20.2,0.03367,"2,012.48",0.10269
20.3,0.03383,"2,028.35",0.10337
20.4,0.034,"2,044.89",0.10414
20.5,0.03416,"2,062.08",0.10489
20.6,0.03433,"2,077.88",0.10568
20.7,0.0345,"2,095.28",0.10644
20.8,0.03466,"2,110.83",0.10713
20.9,0.03483,"2,127.59",0.10794
21,0.035,"2,144.99",0.10878
21.1,0.03516,"2,161.39",0.10957
21.2,0.03533,"2,178.50",0.11033
21.3,0.03549,"2,194.73",0.11109
21.4,0.03566,"2,211.30",0.11196
21.5,0.03583,"2,228.82",0.11277
21.6,0.03599,"2,245.37",0.11348
21.7,0.03617,"2,262.80",0.11437
21.8,0.03633,"2,279.42",0.11519
21.9,0.0365,"2,296.25",0.11592
22,0.03666,"2,312.88",0.11669
22.1,0.03683,"2,330.08",0.11745
22.2,0.037,"2,347.85",0.11834
22.3,0.03716,"2,364.40",0.11911
22.4,0.03733,"2,381.65",0.11987
22.5,0.0375,"2,398.74",0.12068
22.6,0.03766,"2,415.98",0.12144
22.7,0.03783,"2,433.73",0.12226
22.8,0.038,"2,450.01",0.12311
22.9,0.03817,"2,468.11",0.12387
23,0.03833,"2,484.91",0.12472
23.1,0.03849,"2,501.64",0.12545
23.2,0.03866,"2,519.83",0.12634
23.3,0.03883,"2,536.84",0.12713
23.4,0.039,"2,554.80",0.12795
23.5,0.03916,"2,571.74",0.12882
23.6,0.03933,"2,588.93",0.12966
23.7,0.0395,"2,607.36",0.13062
23.8,0.03966,"2,624.27",0.13141
23.9,0.03983,"2,642.21",0.13232
24,0.04,"2,660.26",0.13316
24.1,0.04016,"2,677.49",0.13398
24.2,0.04033,"2,695.87",0.13485
24.3,0.04049,"2,712.89",0.13563
24.4,0.04067,"2,732.33",0.13661
24.5,0.04083,"2,750.04",0.13738
24.6,0.041,"2,767.22",0.13821
24.7,0.04116,"2,786.01",0.13904
24.8,0.04133,"2,803.40",0.13995
24.9,0.0415,"2,821.79",0.14069
25,0.04166,"2,839.86",0.1416
25.1,0.04183,"2,857.77",0.14239
25.2,0.042,"2,875.98",0.14325
25.3,0.04216,"2,893.67",0.14405
25.4,0.04233,"2,912.05",0.14497
25.5,0.04249,"2,930.05",0.14579
25.6,0.04266,"2,948.52",0.14658
25.7,0.04283,"2,966.76",0.14748
25.8,0.04299,"2,984.60",0.14834
25.9,0.04316,"3,003.31",0.14924
26,0.04333,"3,020.90",0.15009
26.1,0.0435,"3,040.07",0.15098
26.2,0.04367,"3,058.58",0.15198
26.3,0.04383,"3,076.65",0.15286
26.4,0.044,"3,095.28",0.15384
26.5,0.04416,"3,113.27",0.15469
26.6,0.04433,"3,132.21",0.15559
26.7,0.0445,"3,151.12",0.15659
26.8,0.04466,"3,169.67",0.15743
26.9,0.04483,"3,188.59",0.15836
27,0.04499,"3,207.17",0.15929
27.1,0.04516,"3,226.54",0.16022
27.2,0.04533,"3,245.74",0.16115
27.3,0.0455,"3,264.92",0.16206
27.4,0.04567,"3,284.40",0.16293
27.5,0.04583,"3,303.22",0.16382
27.6,0.046,"3,322.60",0.16475
27.7,0.04616,"3,341.70",0.16565
27.8,0.04633,"3,361.61",0.16658
27.9,0.0465,"3,381.93",0.16757
28,0.04666,"3,400.64",0.16845
28.1,0.04683,"3,420.87",0.1694
28.2,0.04699,"3,440.35",0.17034
28.3,0.04716,"3,460.62",0.17133
28.4,0.04733,"3,482.09",0.17242
28.5,0.0475,"3,502.07",0.17328
28.6,0.04766,"3,523.19",0.17431
28.7,0.04782,"3,543.13",0.17523
28.8,0.048,"3,564.21",0.17641
28.9,0.04816,"3,585.68",0.17742
29,0.04833,"3,606.71",0.17834
29.1,0.0485,"3,628.50",0.17945
29.2,0.04866,"3,649.01",0.18033
29.3,0.04883,"3,670.48",0.18146
29.4,0.04899,"3,692.09",0.1825
29.5,0.04916,"3,713.73",0.18361
29.6,0.04933,"3,735.81",0.18465
